path,label
./data/validation/n0/n000.jpg,n0
./data/validation/n0/n001.jpg,n0
./data/validation/n0/n0010.jpg,n0
./data/validation/n0/n0011.jpg,n0
./data/validation/n0/n0012.jpg,n0
./data/validation/n0/n0013.jpg,n0
./data/validation/n0/n0014.jpg,n0
./data/validation/n0/n0015.jpg,n0
./data/validation/n0/n0016.jpg,n0
./data/validation/n0/n0017.jpg,n0
./data/validation/n0/n002.jpg,n0
./data/validation/n0/n003.jpg,n0
./data/validation/n0/n004.jpg,n0
./data/validation/n0/n005.jpg,n0
./data/validation/n0/n006.jpg,n0
./data/validation/n0/n007.jpg,n0
./data/validation/n0/n008.jpg,n0
./data/validation/n0/n009.jpg,n0
./data/validation/n0/n010.jpg,n0
./data/validation/n0/n011.jpg,n0
./data/validation/n0/n012.jpg,n0
./data/validation/n0/n013.jpg,n0
./data/validation/n0/n014.jpg,n0
./data/validation/n0/n015.jpg,n0
./data/validation/n0/n016.jpg,n0
./data/validation/n0/n017.jpg,n0
./data/validation/n1/n100.jpg,n1
./data/validation/n1/n101.jpg,n1
./data/validation/n1/n1010.jpg,n1
./data/validation/n1/n1011.jpg,n1
./data/validation/n1/n1012.jpg,n1
./data/validation/n1/n1013.jpg,n1
./data/validation/n1/n1014.jpg,n1
./data/validation/n1/n1015.jpg,n1
./data/validation/n1/n1016.jpg,n1
./data/validation/n1/n102.jpg,n1
./data/validation/n1/n103.jpg,n1
./data/validation/n1/n104.jpg,n1
./data/validation/n1/n105.jpg,n1
./data/validation/n1/n106.jpg,n1
./data/validation/n1/n107.jpg,n1
./data/validation/n1/n108.jpg,n1
./data/validation/n1/n109.jpg,n1
./data/validation/n1/n110.jpg,n1
./data/validation/n1/n111.jpg,n1
./data/validation/n1/n112.jpg,n1
./data/validation/n1/n113.jpg,n1
./data/validation/n1/n114.jpg,n1
./data/validation/n1/n115.jpg,n1
./data/validation/n1/n116.jpg,n1
./data/validation/n1/n117.jpg,n1
./data/validation/n1/n118.jpg,n1
./data/validation/n1/n119.jpg,n1
./data/validation/n1/n120.jpg,n1
./data/validation/n2/n200.jpg,n2
./data/validation/n2/n201.jpg,n2
./data/validation/n2/n2010.jpg,n2
./data/validation/n2/n2011.jpg,n2
./data/validation/n2/n2012.jpg,n2
./data/validation/n2/n2013.jpg,n2
./data/validation/n2/n2014.jpg,n2
./data/validation/n2/n2015.jpg,n2
./data/validation/n2/n2016.jpg,n2
./data/validation/n2/n202.jpg,n2
./data/validation/n2/n203.jpg,n2
./data/validation/n2/n204.jpg,n2
./data/validation/n2/n205.jpg,n2
./data/validation/n2/n206.jpg,n2
./data/validation/n2/n207.jpg,n2
./data/validation/n2/n208.jpg,n2
./data/validation/n2/n209.jpg,n2
./data/validation/n2/n210.jpg,n2
./data/validation/n2/n211.jpg,n2
./data/validation/n2/n212.jpg,n2
./data/validation/n2/n213.jpg,n2
./data/validation/n2/n214.jpg,n2
./data/validation/n2/n215.jpg,n2
./data/validation/n2/n216.jpg,n2
./data/validation/n2/n217.jpg,n2
./data/validation/n2/n218.jpg,n2
./data/validation/n2/n219.jpg,n2
./data/validation/n3/n300.jpg,n3
./data/validation/n3/n301.jpg,n3
./data/validation/n3/n3010.jpg,n3
./data/validation/n3/n3011.jpg,n3
./data/validation/n3/n3012.jpg,n3
./data/validation/n3/n3013.jpg,n3
./data/validation/n3/n3014.jpg,n3
./data/validation/n3/n3015.jpg,n3
./data/validation/n3/n3016.jpg,n3
./data/validation/n3/n3017.jpg,n3
./data/validation/n3/n3018.jpg,n3
./data/validation/n3/n3019.jpg,n3
./data/validation/n3/n302.jpg,n3
./data/validation/n3/n303.jpg,n3
./data/validation/n3/n304.jpg,n3
./data/validation/n3/n305.jpg,n3
